Degree,Count
1,1395405
2,1336193
3,1273296
4,1148268
5,993789
6,835800
7,690016
8,561795
9,454012
10,367609
11,297217
12,243746
13,200447
14,167554
15,140826
16,119521
17,102694
18,89259
19,77803
20,68890
21,60489
22,54114
23,48270
24,42962
25,38828
26,34849
27,31611
28,29098
29,26550
30,24027
31,21900
32,20018
33,18081
34,16522
35,15468
36,13981
37,12785
38,11716
39,10998
40,10137
41,9174
42,8535
43,7858
44,7188
45,6936
46,6233
47,5891
48,5352
49,5085
50,4687
51,4279
52,4057
53,3809
54,3377
55,3240
56,3104
57,2880
58,2753
59,2547
60,2465
61,2276
62,2214
63,2118
64,1883
65,1848
66,1754
67,1691
68,1596
69,1502
70,1461
71,1346
72,1295
73,1266
74,1211
75,1191
76,1126
77,1083
78,1021
79,1007
80,989
81,983
82,886
83,871
84,843
85,823
86,772
87,833
88,788
89,747
90,691
91,735
92,695
93,662
94,620
95,646
96,656
97,590
98,640
99,620
100,619
101,578
102,569
103,561
104,569
105,546
106,548
107,571
108,521
109,525
110,509
111,522
112,509
113,528
114,442
115,499
116,473
117,494
118,421
119,449
120,439
121,465
122,451
123,430
124,472
125,444
126,387
127,448
128,423
129,416
130,401
131,395
132,419
133,428
134,402
135,399
136,422
137,383
138,374
139,349
140,393
141,339
142,373
143,365
144,346
145,378
146,337
147,363
148,365
149,350
150,354
151,325
152,342
153,361
154,341
155,345
156,374
157,376
158,371
159,373
160,364
161,365
162,404
163,360
164,364
165,343
166,352
167,348
168,344
169,335
170,344
171,362
172,366
173,352
174,273
175,317
176,346
177,374
178,335
179,361
180,353
181,320
182,316
183,331
184,300
185,293
186,310
187,321
188,304
189,321
190,339
191,318
192,312
193,332
194,286
195,333
196,359
197,303
198,351
199,323
200,304
201,310
202,290
203,325
204,328
205,301
206,326
207,304
208,323
209,277
210,337
211,328
212,326
213,334
214,301
215,291
216,332
217,314
218,327
219,294
220,314
221,322
222,265
223,344
224,264
225,338
226,286
227,323
228,265
229,302
230,330
231,330
232,277
233,364
234,324
235,339
236,279
237,248
238,316
239,301
240,296
241,265
242,310
243,288
244,312
245,311
246,291
247,273
248,267
249,280
250,275
251,276
252,286
253,301
254,326
255,345
256,298
257,345
258,302
259,306
260,360
261,300
262,336
263,297
264,309
265,337
266,267
267,311
268,352
269,348
270,320
271,330
272,334
273,300
274,261
275,261
276,295
277,297
278,302
279,280
280,308
281,289
282,327
283,307
284,302
285,319
286,314
287,327
288,349
289,310
290,364
291,273
292,360
293,303
294,278
295,257
296,283
297,331
298,281
299,294
300,283
301,352
302,329
303,284
304,306
305,273
306,278
307,277
308,274
309,280
310,260
311,271
312,253
313,264
314,253
315,258
316,297
317,273
318,273
319,292
320,253
321,265
322,266
323,233
324,263
325,262
326,279
327,239
328,265
329,255
330,246
331,240
332,252
333,247
334,262
335,263
336,242
337,246
338,267
339,280
340,277
341,244
342,231
343,228
344,264
345,268
346,230
347,215
348,242
349,228
350,234
351,240
352,267
353,228
354,250
355,217
356,241
357,242
358,257
359,244
360,274
361,253
362,241
363,246
364,226
365,238
366,236
367,209
368,224
369,201
370,230
371,243
372,232
373,225
374,240
375,254
376,269
377,241
378,236
379,223
380,193
381,216
382,225
383,230
384,208
385,226
386,208
387,204
388,232
389,215
390,216
391,230
392,209
393,210
394,220
395,198
396,221
397,208
398,202
399,223
400,191
401,192
402,192
403,191
404,199
405,194
406,175
407,174
408,182
409,215
410,200
411,195
412,176
413,225
414,199
415,175
416,195
417,199
418,188
419,215
420,165
421,191
422,230
423,177
424,193
425,187
426,181
427,180
428,160
429,182
430,208
431,166
432,169
433,165
434,165
435,176
436,194
437,209
438,186
439,163
440,188
441,163
442,175
443,171
444,156
445,181
446,172
447,179
448,138
449,182
450,171
451,159
452,173
453,207
454,178
455,175
456,175
457,125
458,173
459,168
460,145
461,167
462,137
463,163
464,142
465,174
466,136
467,161
468,138
469,163
470,135
471,146
472,136
473,148
474,119
475,146
476,135
477,123
478,136
479,115
480,134
481,120
482,112
483,111
484,114
485,108
486,134
487,131
488,135
489,118
490,119
491,124
492,122
493,111
494,108
495,107
496,102
497,126
498,108
499,102
500,109
501,100
502,124
503,119
504,115
505,102
506,100
507,85
508,102
509,89
510,104
511,93
512,95
513,118
514,103
515,82
516,118
517,101
518,77
519,106
520,84
521,119
522,95
523,93
524,106
525,88
526,83
527,118
528,88
529,91
530,91
531,110
532,104
533,99
534,90
535,85
536,84
537,85
538,86
539,87
540,91
541,82
542,87
543,89
544,86
545,68
546,96
547,83
548,94
549,92
550,89
551,86
552,85
553,97
554,99
555,65
556,73
557,81
558,85
559,69
560,98
561,81
562,72
563,63
564,79
565,69
566,77
567,60
568,77
569,75
570,73
571,82
572,59
573,70
574,77
575,65
576,66
577,72
578,59
579,68
580,62
581,72
582,73
583,79
584,60
585,74
586,71
587,78
588,80
589,76
590,70
591,60
592,59
593,68
594,64
595,67
596,54
597,57
598,63
599,73
600,51
601,53
602,50
603,52
604,75
605,72
606,66
607,43
608,67
609,71
610,68
611,65
612,69
613,66
614,53
615,91
616,62
617,50
618,50
619,77
620,50
621,66
622,50
623,50
624,48
625,61
626,49
627,51
628,54
629,51
630,49
631,43
632,50
633,54
634,65
635,55
636,60
637,62
638,69
639,47
640,52
641,78
642,60
643,64
644,56
645,65
646,36
647,51
648,51
649,44
650,59
651,42
652,50
653,40
654,75
655,51
656,35
657,44
658,52
659,54
660,38
661,49
662,45
663,53
664,46
665,45
666,39
667,36
668,36
669,48
670,46
671,43
672,48
673,45
674,44
675,36
676,52
677,40
678,38
679,43
680,38
681,52
682,36
683,27
684,54
685,36
686,29
687,28
688,47
689,33
690,47
691,45
692,33
693,40
694,42
695,43
696,28
697,46
698,46
699,49
700,37
701,41
702,48
703,49
704,44
705,40
706,30
707,37
708,32
709,31
710,39
711,39
712,28
713,29
714,30
715,57
716,34
717,40
718,29
719,39
720,47
721,26
722,36
723,37
724,31
725,24
726,18
727,30
728,27
729,38
730,26
731,27
732,21
733,19
734,25
735,31
736,32
737,31
738,30
739,16
740,27
741,20
742,22
743,27
744,17
745,30
746,19
747,23
748,27
749,23
750,27
751,27
752,26
753,24
754,22
755,19
756,17
757,25
758,21
759,37
760,19
761,22
762,20
763,22
764,24
765,28
766,24
767,17
768,19
769,19
770,24
771,25
772,31
773,22
774,21
775,23
776,24
777,17
778,33
779,27
780,44
781,26
782,18
783,22
784,26
785,39
786,30
787,20
788,17
789,20
790,18
791,14
792,24
793,16
794,21
795,17
796,14
797,10
798,17
799,25
800,18
801,19
802,13
803,20
804,15
805,24
806,13
807,16
808,14
809,13
810,17
811,16
812,16
813,13
814,15
815,17
816,14
817,15
818,14
819,14
820,12
821,15
822,21
823,18
824,19
825,30
826,18
827,18
828,14
829,15
830,23
831,21
832,14
833,13
834,15
835,14
836,11
837,18
838,19
839,19
840,19
841,12
842,14
843,14
844,12
845,11
846,9
847,8
848,12
849,11
850,14
851,11
852,7
853,8
854,11
855,9
856,7
857,13
858,15
859,14
860,11
861,19
862,11
863,15
864,8
865,11
866,12
867,12
868,11
869,14
870,13
871,18
872,16
873,13
874,15
875,11
876,14
877,17
878,13
879,9
880,12
881,17
882,16
883,12
884,10
885,11
886,14
887,23
888,10
889,11
890,16
891,15
892,8
893,14
894,9
895,11
896,10
897,9
898,13
899,11
900,11
901,8
902,10
903,10
904,15
905,16
906,9
907,6
908,5
909,8
910,12
911,8
912,11
913,10
914,9
915,9
916,12
917,7
918,7
919,8
920,8
921,7
922,5
923,7
924,9
925,8
926,9
927,6
928,5
929,4
930,11
931,3
932,8
933,7
934,9
935,8
936,7
937,5
938,7
939,8
940,8
941,11
942,6
943,9
944,8
945,15
946,11
947,7
948,14
949,8
950,11
951,2
952,7
953,6
954,8
955,14
956,3
957,2
958,6
959,6
960,6
961,5
962,6
963,6
964,4
965,6
966,3
967,6
968,5
969,4
970,7
971,3
972,5
973,4
974,6
975,6
976,9
977,6
978,3
979,8
980,5
981,10
982,7
983,21
984,10
985,10
986,20
987,8
988,7
989,11
990,13
991,8
992,8
993,4
994,7
995,3
996,4
997,4
998,9
999,4
1000,7
1001,4
1002,6
1003,7
1004,3
1005,8
1006,7
1007,7
1008,12
1009,7
1010,7
1011,9
1012,5
1013,1
1014,7
1015,5
1016,10
1017,4
1018,6
1019,6
1020,10
1021,7
1022,5
1023,6
1024,1
1025,8
1026,12
1027,5
1028,9
1029,12
1030,1
1031,5
1032,8
1033,5
1034,6
1035,7
1036,3
1037,5
1038,3
1039,5
1040,5
1041,4
1042,3
1043,6
1044,4
1045,5
1046,5
1047,8
1048,11
1049,8
1050,7
1051,4
1052,7
1053,6
1054,4
1055,2
1056,3
1057,2
1058,6
1059,4
1060,3
1061,2
1062,5
1063,10
1064,8
1065,5
1066,4
1068,5
1069,1
1070,4
1071,3
1072,2
1073,3
1074,4
1075,7
1076,6
1077,4
1078,5
1079,4
1080,1
1081,3
1082,4
1083,2
1084,2
1085,4
1086,5
1087,1
1088,2
1089,1
1090,5
1091,3
1092,6
1093,2
1094,4
1095,2
1096,5
1097,2
1098,2
1099,4
1100,4
1101,3
1102,1
1103,4
1104,4
1105,7
1106,4
1107,7
1108,4
1109,1
1110,3
1111,5
1112,3
1113,4
1114,2
1115,3
1116,3
1117,6
1118,2
1119,3
1121,6
1122,4
1123,7
1124,4
1125,5
1126,3
1127,7
1128,4
1129,4
1130,5
1131,2
1132,3
1133,4
1134,1
1135,2
1136,1
1137,3
1138,9
1139,5
1140,4
1141,5
1142,2
1143,6
1144,3
1145,7
1146,10
1147,2
1148,6
1149,5
1150,5
1151,7
1152,2
1153,3
1154,1
1155,8
1156,2
1157,5
1158,6
1159,5
1160,4
1161,4
1162,6
1163,6
1164,4
1165,4
1166,7
1168,5
1169,5
1170,1
1171,3
1172,2
1173,6
1174,2
1175,5
1176,6
1177,4
1178,2
1180,4
1181,2
1182,2
1183,4
1184,2
1185,2
1186,3
1187,3
1188,4
1190,4
1191,1
1192,4
1193,3
1194,1
1195,2
1196,4
1197,4
1198,2
1199,1
1200,3
1201,4
1202,4
1203,3
1204,1
1205,3
1206,1
1207,1
1208,2
1209,2
1210,1
1211,2
1212,1
1213,3
1214,2
1215,2
1216,2
1217,1
1218,1
1219,2
1220,1
1221,4
1222,1
1223,4
1224,2
1225,2
1226,3
1227,2
1228,5
1229,6
1230,2
1232,1
1233,1
1234,1
1235,3
1237,3
1238,2
1239,1
1241,4
1242,2
1243,2
1244,2
1245,1
1246,1
1248,1
1249,1
1250,2
1251,2
1252,2
1254,1
1256,2
1257,1
1258,2
1259,1
1260,4
1262,2
1263,2
1264,2
1266,1
1267,3
1268,3
1269,5
1270,1
1271,1
1272,3
1273,4
1274,2
1275,4
1276,2
1277,1
1281,3
1282,2
1283,1
1287,1
1288,4
1289,1
1290,5
1292,2
1293,2
1294,3
1298,2
1299,1
1300,3
1302,4
1303,2
1304,3
1305,1
1306,5
1307,3
1308,4
1309,2
1310,1
1311,3
1312,3
1313,2
1314,2
1315,3
1316,2
1317,4
1318,3
1319,5
1320,3
1322,3
1323,2
1324,1
1326,1
1328,2
1329,5
1330,3
1331,5
1332,3
1333,3
1334,1
1335,2
1336,3
1337,5
1338,2
1341,3
1342,2
1343,3
1344,3
1346,1
1347,1
1348,6
1349,3
1350,2
1351,1
1352,1
1353,4
1354,2
1355,5
1356,1
1357,1
1358,1
1360,2
1362,2
1363,1
1364,2
1366,2
1369,2
1370,2
1374,2
1375,3
1377,2
1378,3
1379,1
1380,1
1381,3
1382,2
1384,2
1386,1
1387,1
1388,1
1391,2
1393,3
1394,1
1398,1
1401,1
1403,1
1405,2
1408,1
1409,3
1410,1
1411,2
1415,1
1417,1
1418,1
1419,1
1420,2
1422,1
1424,1
1425,1
1427,1
1428,3
1429,2
1434,1
1435,2
1437,1
1438,1
1440,1
1442,2
1452,1
1453,2
1458,1
1460,2
1466,1
1468,1
1473,1
1477,1
1479,2
1480,1
1484,1
1485,2
1489,1
1495,1
1496,1
1497,1
1501,1
1504,1
1505,1
1508,1
1509,1
1511,1
1512,2
1520,1
1522,1
1523,1
1530,1
1532,1
1535,1
1537,1
1539,2
1547,1
1552,1
1556,1
1557,1
1563,1
1564,1
1568,1
1574,1
1575,2
1576,1
1585,1
1586,1
1588,1
1589,1
1590,1
1595,1
1597,1
1598,1
1599,1
1601,1
1607,1
1608,1
1612,3
1614,1
1615,1
1616,1
1621,1
1623,1
1627,1
1631,4
1635,1
1636,1
1637,1
1640,1
1642,1
1643,2
1644,1
1650,2
1651,1
1652,1
1655,1
1656,1
1662,1
1663,1
1665,1
1668,1
1671,1
1675,2
1678,1
1680,1
1682,1
1694,3
1697,2
1699,1
1705,2
1707,2
1710,1
1713,2
1715,1
1721,1
1725,1
1728,1
1729,1
1732,1
1733,2
1735,1
1737,1
1738,3
1742,1
1744,1
1746,2
1747,1
1748,1
1749,4
1753,3
1755,1
1756,1
1757,1
1760,1
1763,2
1766,1
1767,2
1768,1
1769,2
1772,1
1773,1
1777,2
1779,2
1780,1
1781,3
1784,1
1785,1
1786,2
1787,1
1788,3
1789,1
1790,3
1791,1
1792,1
1793,2
1794,4
1795,1
1796,4
1797,2
1798,1
1799,1
1800,2
1801,3
1804,5
1805,1
1806,1
1820,1
1836,2
1848,1
1856,1
1876,1
1883,1
1889,1
1894,1
1896,2
1900,1
1901,1
1904,1
1908,1
1912,1
1916,4
1921,1
1922,1
1923,1
1929,1
1930,1
1941,1
1950,1
1953,2
1962,1
1964,1
1966,1
1981,1
1983,1
1987,1
1989,1
1997,1
1998,1
1999,1
2000,2
2006,1
2008,1
2012,2
2018,2
2019,1
2029,1
2030,1
2033,1
2034,1
2036,1
2049,2
2055,1
2059,1
2063,1
2064,1
2088,1
2093,2
2098,1
2101,1
2111,1
2122,1
2130,1
2136,1
2154,1
2156,1
2166,1
2174,2
2175,1
2182,1
2184,1
2190,1
2205,1
2209,1
2213,1
2215,1
2220,1
2227,1
2232,1
2235,1
2241,1
2249,1
2251,1
2275,1
2278,1
2365,1
2378,1
